Name,Address,City State,ZIP,Number of Sites,Url,latitude,longitude
Willow Lake Estates,"161 West River Road,","Elgin, IL",60123.0,623,https://www.mhvillage.com/parks/10688,44.5284757,-69.668247
Bueche's Mobile Home Park,"909 South Mclean Boulevard,","Elgin, IL",60123.0,Not found,https://www.mhvillage.com/parks/36384,35.1211477,-90.001707
Forest View Manor Manufactured Home Park,"100 Forest View Drive,","Genoa, IL",60135.0,100,https://www.mhvillage.com/parks/10439,44.4328422,-64.5934204
Indian Trails,"1150 Briden Drive,","Marengo, IL",60152.0,167,https://www.mhvillage.com/parks/11045,42.2472844,-88.6227856
Guerine Mobile Home Park,"4700 Division Street,","Melrose Park, IL",60160.0,347,https://www.mhvillage.com/parks/10404,41.8998716,-87.8913357
Meadowcreek Mobile Home Park,"4503 West Lake Street,","Melrose Park, IL",60160.0,287,https://www.mhvillage.com/parks/10418,41.8860962,-87.7383196
Edgebrook,"1801 Dekalb Avenue,","Sycamore, IL",60178.0,247,https://www.mhvillage.com/parks/10447,40.7071581,-73.9164614
Pleasant Ridge,"27W370 Geneva Road,","West Chicago, IL",60185.0,148,https://www.mhvillage.com/parks/10476,41.88905914,-88.15506577
Wood Dale Estates,"140 South Wood Dale Road,","Wood Dale, IL",60191.0,97,https://www.mhvillage.com/parks/10477,41.954537,-87.978855
Pheasant Lake Estates,"1 Pheasant Circle,","Beecher, IL",60401.0,613,https://www.mhvillage.com/parks/87,40.889855,-73.4485541
Imperial MHP,"106 East Jefferson Street,","Shorewood, IL",60404.0,184,https://www.mhvillage.com/parks/36813,41.5216351,-88.1973496
AAA Mobile Home Park,"2005 West 139th Street,","Blue Island, IL",60406.0,105,https://www.mhvillage.com/parks/10342,38.8761806,-94.6109435
American Mobile Home Park,"14149 S Western Ave,","Blue Island, IL",60406.0,47,https://www.mhvillage.com/parks/10343,41.634281,-87.67752001
Smith Mobile Homes,"14115 South Western Avenue,","Blue Island, IL",60406.0,233,https://www.mhvillage.com/parks/10350,35.3282629,-97.5299985
Sycamore Mobile Home Park,"1750 W Broadway,","Blue Island, IL",60406.0,86,https://www.mhvillage.com/parks/11682,41.6533101,-87.6601969
Colonial Estates,"14139 South Western Avenue,","Dixmoor, IL",60406.0,183,https://www.mhvillage.com/parks/10346,41.6359915,-87.67772964
Blue Island Mobile Home Park,"13667 Western Avenue,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10344,41.644483,-87.679979
Broadway Estates,"2800 Broadway Street,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10345,41.65017108,-87.68968528
Modern Estates & Forest View Mobile Home Park,"14001 Western Avenue,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10349,41.8891862,-87.6882106
Mourning Trailer Park,"452 N Vernon Dr,","Godley, IL",60407.0,Not found,https://www.mhvillage.com/parks/11568,33.3104356,-111.8013885
Dixon Mobile Home Park,"177 N Center St,","Braidwood, IL",60408.0,Not found,https://www.mhvillage.com/parks/11556,41.2668385,-88.2172584
River Oaks Mobile Estates,"2025 Dolton Road,","Calumet City, IL",60409.0,301,https://www.mhvillage.com/parks/10352,50.9362297,-1.4476088
Park Harbor Mobile Home Park,"4 Oak Court,","Calumet City, IL",60409.0,Not found,https://www.mhvillage.com/parks/10351,41.6308202,-87.5778116
Remington Woods,"22500 S Remington Dr,","Channahon, IL",60410.0,175,https://www.mhvillage.com/parks/42386,41.4740138,-88.1914646
Alpine Village,"450 Chillon Drive,","Lynwood, IL",60411.0,677,https://www.mhvillage.com/parks/10365,41.5006037,-87.5282405
Weatherstone Lakes,"21191 Torrence Avenue,","Sauk Village, IL",60411.0,105,https://www.mhvillage.com/parks/37881,41.5111841,-87.5583618
Candlelight Village,"4 Candlelight Drive,","Sauk Village, IL",60411.0,309,https://www.mhvillage.com/parks/10361,41.9253626,-70.7234167
Paradise Park,"699 Michelle Drive,","Lynwood, IL",60411.0,278,https://www.mhvillage.com/parks/57999,30.4278524,-88.9482586
Linway Estates,"2836 East Lincoln Highway,","Chicago Heights, IL",60411.0,300,https://www.mhvillage.com/parks/10362,40.8343627,-83.8267073
Manson Mobile Home Park,"3001 Forest Preserve Drive,","Chicago Heights, IL",60411.0,Not found,https://www.mhvillage.com/parks/10363,41.481719,-87.654641
Burt Estates,"300 N Daley Street,","Diamond, IL",60416.0,242,https://www.mhvillage.com/parks/10549,41.290705,-88.253036
Burt Estates,"300 N Daley St,","Diamond, IL",60416.0,Not found,https://www.mhvillage.com/parks/10550,41.290705,-88.253036
Queens Estates,"1712 South Dixie Highway,","Crete, IL",60417.0,148,https://www.mhvillage.com/parks/11561,26.2107691,-80.1323414
Gianni Mobile Home Park,"925 Main Street,","Crete, IL",60417.0,Not found,https://www.mhvillage.com/parks/11560,41.4589332,-87.6336299
Creek Ridge,"300 East Spencer Street,","Dwight, IL",60420.0,97,https://www.mhvillage.com/parks/10851,38.473972,-77.992574
Dwight Mobile Home Park,"401 West Williams Street,","Dwight, IL",60420.0,Not found,https://www.mhvillage.com/parks/10852,41.087816,-88.437362
Olsen Mobile Home Park,"516 E Seminole St,","Dwight, IL",60420.0,Not found,https://www.mhvillage.com/parks/10850,36.1804201,-95.9881897
Shady Nook Mobile Home Park,"314 S Saint Louis St,","Elwood, IL",60421.0,80,https://www.mhvillage.com/parks/11565,41.401075,-88.107376
Gateway Manufactured Home Community,"22900 South Big Run Drive,","Frankfort, IL",60423.0,442,https://www.mhvillage.com/parks/29546,41.472845,-87.876762
Bookwalter Woods,"23 Sistek Road,","Gardner, IL",60424.0,167,https://www.mhvillage.com/parks/10551,41.2170454,-88.3019079
"Dixie Garden Homes, Inc","15000 Dixie Highway,","Harvey, IL",60426.0,187,https://www.mhvillage.com/parks/10382,25.5352325,-80.412112
Specialville Estates,"14136 S. Wood Street,","Dixmoor, IL",60426.0,Not found,https://www.mhvillage.com/parks/129579,41.63223909,-87.66107987
Western Crossing,"14001 S. Western Avenue,","Dixmoor, IL",60426.0,Not found,https://www.mhvillage.com/parks/129298,41.63915479,-87.678687
Hazel Crest MHC,"16902 Dixie Hwy,","Hazel Crest, IL",60429.0,22,https://www.mhvillage.com/parks/106444,41.5825131,-87.6656268
Ely's Trailer Park,"861 Ridge Road,","Homewood, IL",60430.0,Not found,https://www.mhvillage.com/parks/10389,41.5622961,-87.638013
Stateville Court Federal Employee Community,"St Rte 53,","Joliet, IL",60435.0,Not found,https://www.mhvillage.com/parks/11578,41.65563038,-88.07991631
Modern Manor,"1703 South Chicago Street,","Joliet, IL",60436.0,40,https://www.mhvillage.com/parks/89,41.4934878,-88.0808113
Peet's Mobile Home Park,"1519 S Chicago St,","Joliet, IL",60436.0,Not found,https://www.mhvillage.com/parks/11573,41.4959338,-88.0804709
Busy Bee Mobile Home Park,"13555 South Archer Avenue,","Lemont, IL",60439.0,Not found,https://www.mhvillage.com/parks/10397,41.6402981,-88.004146
Triangal Mh Park,"15051 S Archer Ave,","Lockport, IL",60441.0,Not found,https://www.mhvillage.com/parks/57834,41.6119313,-88.0408806
Timber Ridge Park LLC,"21700 Timber Ridge Road,","Matteson, IL",60443.0,773,https://www.mhvillage.com/parks/10402,41.49673147,-87.77448326
Maple Brook,"21635 Ridgeland Avenue,","Matteson, IL",60443.0,440,https://www.mhvillage.com/parks/10401,-33.7661661,151.1480546
Benson Mobile Home Park,"Sucker Road,","Mazon, IL",60444.0,14,https://www.mhvillage.com/parks/11667,40.8240139,-123.608159
Rustic Acres Mobile Home Park,"3510 S Dwight Rd,","Mazon, IL",60444.0,Not found,https://www.mhvillage.com/parks/107164,41.2333176,-88.43770038
Shady Oaks,"14 Central,","Minooka, IL",60447.0,364,https://www.mhvillage.com/parks/10555,-11.992785,-77.1098713
Golf Vista Estates,"4951 Augusta Blvd.,","Monee, IL",60449.0,497,https://www.mhvillage.com/parks/11581,41.4210866,-87.732526
Dresden Acres,"9070 North Dresden Drive,","Morris, IL",60450.0,Not found,https://www.mhvillage.com/parks/10556,41.4185581,-88.3229056
Hildy Mobile Home Park,"1215 Price St,","Morris, IL",60450.0,Not found,https://www.mhvillage.com/parks/106920,30.3246357,-81.6773259
Oak Forest,"5110 159th Street,","Oak Forest, IL",60452.0,70,https://www.mhvillage.com/parks/10409,44.9174444,-91.3494558
Airway Manufactured Housing Community,"9001 South Cicero Avenue,","Oak Lawn, IL",60453.0,268,https://www.mhvillage.com/parks/10410,41.729043,-87.740985
Rosebud,"8800 South Harlem Avenue,","Bridgeview, IL",60455.0,865,https://www.mhvillage.com/parks/11680,41.8552867,-87.8038741
Sterling Estates,"9300 W. 79th St.,","Justice, IL",60458.0,807,https://www.mhvillage.com/parks/10391,41.7475607,-87.8237126
Chief Mobile Home Park,"8101 West 79th Street,","Justice, IL",60458.0,165,https://www.mhvillage.com/parks/10390,38.9857339,-94.6796914
Riverside West Manufactured Homes,"North Park Street,","Wilmington, IL",60481.0,11,https://www.mhvillage.com/parks/126080,39.9654851,-75.1591376
Carter Mobile Home Park,"North Park Street,","Wilmington, IL",60481.0,Not found,https://www.mhvillage.com/parks/11584,39.9654851,-75.1591376
Shadow Lakes - Tully Monster Village,"Coal City Rd,","Wilmington, IL",60481.0,Not found,https://www.mhvillage.com/parks/127512,33.8202692,-87.3003986
Arrow Ridge Estates,"11701 S Ridgeland Ave,","Worth, IL",60482.0,93,https://www.mhvillage.com/parks/75081,41.677843,-87.778181
Water's Edge Estates,"7240 West 107th Street,","Worth, IL",60482.0,173,https://www.mhvillage.com/parks/10424,38.9343021,-94.6697969
Southwest Estates,"10401 Southwest Highway,","Worth, IL",60482.0,111,https://www.mhvillage.com/parks/10423,41.6488287,-87.8426851
Arrow Mobile Home Park,"11725 Sourth Ridgeland Avenue,","Worth, IL",60482.0,120,https://www.mhvillage.com/parks/10421,41.67791359,-87.77675636
Margarets Hi-Acre,"1100 Rural St,","Aurora, IL",60505.0,100,https://www.mhvillage.com/parks/58112,42.27423,-89.079445
Breazeale Trailer Park,"1147 Rural Street,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/10676,42.2740763,-89.0789541
Margaret's Parkview Estates,"800 Hill Avenue,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/10678,40.3365596,-75.9542947
Dearborn Mobile Home Park,"1700 Block E Dearborn Ave,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/106938,41.76781035,-88.27257706
Patterson Mh Park,"1220 Hinckley St,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/58111,41.7327227,-88.309114
Oak Terrace Manufactured Home Community,"42 Oak Terrace Court,","Batavia, IL",60510.0,Not found,https://www.mhvillage.com/parks/10683,41.8604598,-88.3073878
Earlville Mobile Home Park,"4461 E 1251st Road,","Earlville, IL",60518.0,31,https://www.mhvillage.com/parks/10741,41.5793636,-88.922161
Century Estates,"1610 E Us Route 34,","Earlville, IL",60518.0,Not found,https://www.mhvillage.com/parks/107406,41.58644713,-88.85906854
Century Estates,"1610 Walter Payton Memorial Hwy,","Earlville, IL",60518.0,Not found,https://www.mhvillage.com/parks/107408,41.5865033,-88.85910073
Country Club Woods,"9800 Joliet Rd.,","Countryside, IL",60525.0,310,https://www.mhvillage.com/parks/29162,41.3532574,-87.8498272
"Weeping Willow Ranch MHC, LLC.","6801 S. La Grange Rd.,","Hodgkins, IL",60525.0,182,https://www.mhvillage.com/parks/68350,41.7766312,-87.8680184
Valley Oaks,"6208 Lawn Drive,","Hodgkins, IL",60525.0,132,https://www.mhvillage.com/parks/11715,41.7750736,-87.8584818
La Grange Estates,"6 Court Dr,","La Grange, IL",60525.0,115,https://www.mhvillage.com/parks/11668,53.4943465,-2.1655137
Parkview MHC,"8783 Canary Lane,","Hodgkins, IL",60525.0,165,https://www.mhvillage.com/parks/10386,41.7722079,-87.8512159
Crooked Tree Campground,"8574 Milbrook Road,","Millbrook, IL",60536.0,40,https://www.mhvillage.com/parks/10720,36.0337952,-86.831377
Oak Grove Mobile Home Village,"1336 Douglas Avenue,","Montgomery, IL",60538.0,85,https://www.mhvillage.com/parks/10689,41.72966293,-88.31965864
Countryside Estates MHP,"E 2750th Road & Center Street,","Sandwich, IL",60548.0,63,https://www.mhvillage.com/parks/10441,41.61794211,-88.65011957
Wildwood Estates,"1 Birch Drive,","Sandwich, IL",60548.0,476,https://www.mhvillage.com/parks/83,41.62127512,-88.64956117
Triangle Manufactured Home Community,"1251 Lauren Drive,","Sandwich, IL",60548.0,72,https://www.mhvillage.com/parks/10446,41.6459707,-88.6394383
Jon's Estates,"12 Chrissy Drive,","Sandwich, IL",60548.0,35,https://www.mhvillage.com/parks/10444,41.604866,-88.6214533
Sandwich Mobile Home Park,"1027 East Railroad Street,","Sandwich, IL",60548.0,Not found,https://www.mhvillage.com/parks/10445,30.3760386,-89.0689102
Leifheit Mh Park,"435 S Elm St,","Waterman, IL",60556.0,Not found,https://www.mhvillage.com/parks/57631,41.764476,-88.7739241
Waterman Mobile Home Park,"250 E Lincoln Highway,","Waterman, IL",60556.0,Not found,https://www.mhvillage.com/parks/107252,41.7690605,-88.7683524
Hide Away Lakes Mobile Home Park,"8045 Van Emmon Road,","Yorkville, IL",60560.0,Not found,https://www.mhvillage.com/parks/64590,41.6463375,-88.4096227
Harbor Point Estates,"4000 East 134th Street,","Chicago, IL",60633.0,775,https://www.mhvillage.com/parks/28682,41.6524893,-87.5293961
OK Trailer Park,"2826 E 138th Place,","Chicago, IL",60633.0,Not found,https://www.mhvillage.com/parks/10358,41.644024,-87.547476
South East,"401 136th Street,","Chicago, IL",60633.0,Not found,https://www.mhvillage.com/parks/10354,38.442291,-75.058339
Oak Lane Mobile Home Park,"11750 South Homan Avenue,","Merrionette Park, IL",60803.0,223,https://www.mhvillage.com/parks/10359,41.6803441,-87.7054406
Century Mobile Home Park,"12357 South Ashland Avenue,","Calumet Park, IL",60827.0,Not found,https://www.mhvillage.com/parks/10355,41.8501577,-87.6659409
Skyview Estates,"93 N. 3530E Road,","Kankakee, IL",60901.0,28,https://www.mhvillage.com/parks/103599,41.12106819,-87.80616999
Kankakee Estates,"1995 South Schuyler Avenue,","Kankakee, IL",60901.0,168,https://www.mhvillage.com/parks/10704,41.1044466,-87.8686423
Tri-Star Estates,"43 E 5000N Rd.,","Bourbonnais, IL",60914.0,850,https://www.mhvillage.com/parks/10695,41.1917959,-87.875438
Oak Creek Estates,"1343 N Arthur Burch Dr,","Bourbonnais, IL",60914.0,343,https://www.mhvillage.com/parks/10692,41.1679824,-87.8537681
Dehm Court,"207 W Elm St,","Chatsworth, IL",60921.0,Not found,https://www.mhvillage.com/parks/107038,40.751688,-88.298616
Chebanse MH Estates,"5194 S Route 45-52,","Chebanse, IL",60922.0,89,https://www.mhvillage.com/parks/10698,51.4768661,-0.2313718
River Crest Mobile Home Park,"5800 River Road,","Chebanse, IL",60922.0,16,https://www.mhvillage.com/parks/10587,41.03848634,-87.84850327
Iroquois Mobile Estates,"3118 North Us Highway 45 52,","Chebanse, IL",60922.0,51,https://www.mhvillage.com/parks/10586,35.8708694,-76.6979584
Barberry Acres,"6478 S Route 45-52,","Chebanse, IL",60922.0,Not found,https://www.mhvillage.com/parks/10697,51.4768661,-0.2313718
Carriage Lane Mobile Home Park,"1104 N Lott Blvd,","Gibson City, IL",60936.0,46,https://www.mhvillage.com/parks/10510,40.4778403,-88.3720628
Hunts Mh Park,"601 Orange Street,","Hoopeston, IL",60942.0,Not found,https://www.mhvillage.com/parks/57858,40.458858,-87.678802
R&S Rentals,"205 S Elm St,","Loda, IL",60948.0,Not found,https://www.mhvillage.com/parks/106982,40.5141193,-88.0683063
Ludlow Mobile Home Park,"Poplar Street,","Ludlow, IL",60949.0,11,https://www.mhvillage.com/parks/10210,51.5822291,0.1678913
Oak Ridge,"1099 Oak Ridge Drive,","Manteno, IL",60950.0,426,https://www.mhvillage.com/parks/39079,35.1009116,-89.9235076
Maple Crest Manor,"550 Birch Street,","Manteno, IL",60950.0,109,https://www.mhvillage.com/parks/10711,41.2536355,-87.8282504
Manteno,"6024 East 9120 North Road,","Manteno, IL",60950.0,80,https://www.mhvillage.com/parks/10710,41.25297186,-87.76051643
Maple Ridge Mobile Home Park,"1 Maple Valley,","Manteno, IL",60950.0,276,https://www.mhvillage.com/parks/57826,34.416829,-84.471794
Maple Valley,"1 Silver Circle,","Manteno, IL",60950.0,201,https://www.mhvillage.com/parks/10713,41.255479,-87.826694
Sunny Acres,"200 Franklin Drive,","Manteno, IL",60950.0,189,https://www.mhvillage.com/parks/10478,37.236987,-80.4166514
Bill's Mobile Court,"10557 North State Route 50,","Manteno, IL",60950.0,Not found,https://www.mhvillage.com/parks/10707,34.7437285,-77.3379131
Harvest Estates,"10557 N Route 50,","Manteno, IL",60950.0,Not found,https://www.mhvillage.com/parks/106826,35.6354872,139.7669716
Combs Mobile Home Park,"434 W Pine St,","Paxton, IL",60957.0,Not found,https://www.mhvillage.com/parks/57755,33.7432903,-117.8713827
Paxton MHC,"Route 45 And East Chestnut St.,","Paxton, IL",60957.0,Not found,https://www.mhvillage.com/parks/106924,40.46627948,-88.09332337
Shannon Shores Mobile Home Park,"18530 West 3000 North Road,","Reddick, IL",60961.0,189,https://www.mhvillage.com/parks/10716,41.1581803,-88.2333078
Windmill Estates,"5550 S. Il Route 1,","Saint Anne, IL",60964.0,28,https://www.mhvillage.com/parks/10705,39.6410653,-87.6922135
Beaver Creek Village,"1795 E 3180 N Rd,","Saint Anne, IL",60964.0,Not found,https://www.mhvillage.com/parks/106802,40.97105567,-87.79478926
Sugar Creek Mobile Home Community,"1005 West Lafayette Street,","Watseka, IL",60970.0,46,https://www.mhvillage.com/parks/10594,40.7798686,-87.7490051
Watch-E-Kee Mobile Home Park,"31A Watch-E-Kee Drive,","Watseka, IL",60970.0,63,https://www.mhvillage.com/parks/10597,40.77323739,-87.66868604
Greenview Estates,"3901 Newburg Rd,","Belvidere, IL",61008.0,355,https://www.mhvillage.com/parks/10164,38.1808035,-85.6612236
The Four Seasons,"700 Chrysler Drive,","Belvidere, IL",61008.0,587,https://www.mhvillage.com/parks/11660,42.3376877,-83.0420158
Holiday Acres Mobile Home Park,"7050 Epworth,","Belvidere, IL",61008.0,50,https://www.mhvillage.com/parks/11614,42.2564637,-88.767333
Bel-Bo Mobile Home Park,"1211 West Locust Street,","Belvidere, IL",61008.0,Not found,https://www.mhvillage.com/parks/10162,43.071147,-87.9269691
Park Meadowlands West Mhc,"2630 Spring Creek Rd,","Belvidere, IL",61008.0,Not found,https://www.mhvillage.com/parks/58082,42.3002661,-88.8884672
Lakeview Mobile Home Park,"8528 Route 2,","Byron, IL",61010.0,Not found,https://www.mhvillage.com/parks/106914,46.4414235,-63.6272761
Rolling Meadows Mobile Home Park,"4989 N Il Route 251,","Davis Junction, IL",61020.0,149,https://www.mhvillage.com/parks/11124,42.0940741,-89.07494679
Chateau Estates,"1100 Carondelet Road,","Dixon, IL",61021.0,160,https://www.mhvillage.com/parks/10839,41.834703,-89.461198
Rock River Estates,"291 Il Rt. 2,","Dixon, IL",61021.0,200,https://www.mhvillage.com/parks/10845,41.82242758,-89.57696167
Shamrock Mobile Home Park,"1351 Chicago Avenue,","Dixon, IL",61021.0,16,https://www.mhvillage.com/parks/10843,41.8317405,-89.462855
Greenacres Mobile Home Park,"519 South Il Route,","Dixon, IL",61021.0,Not found,https://www.mhvillage.com/parks/10842,38.7935856,-89.9786743
Frentriss Lake,"511 Kroll Road,","East Dubuque, IL",61025.0,60,https://www.mhvillage.com/parks/11675,44.6912386,-88.1414312
Spring Brook MHP LLC,"601 N Ash,","Forreston, IL",61030.0,31,https://www.mhvillage.com/parks/129581,42.1325165,-89.5815936
Simlers Park,"604 North Walnut Avenue,","Forreston, IL",61030.0,35,https://www.mhvillage.com/parks/11126,36.056654,-95.8137246
Candle Lite Mobile Home Park,"Oak St,","Forreston, IL",61030.0,Not found,https://www.mhvillage.com/parks/107022,9.2786182,18.5776598
Timber Ridge MHP LLC,"3998 Baileyville Road,","Freeport, IL",61032.0,60,https://www.mhvillage.com/parks/11430,42.2436863,-89.6000086
Knollwood Estates Manufactured Home Community,"100 Tanglewood Dr.,","Freeport, IL",61032.0,300,https://www.mhvillage.com/parks/11426,32.4660549,-86.3872145
Stephenson Manufactured Housing Community,"6807 W. Stephenson St,","Freeport, IL",61032.0,88,https://www.mhvillage.com/parks/11429,42.2975739,-89.6221703
Woodridge Estates Manufactured Housing Community,"2284 W. Galena Ave.,","Freeport, IL",61032.0,215,https://www.mhvillage.com/parks/11432,42.305737,-89.6551155
